Date,AAPL,ABT,ACN,ADBE,AMZN,BMY,BRK-B,CMCSA,COST,CRM,CSCO,CVX,DHR,DIS,GOOGL,HD,HON,IBM,INTC,JNJ,KO,LIN,LLY,MA,MCD,MDT,MRK,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,QCOM,RTX,T,TMO,TXN,UNH,VZ,WMT,XOM,CL=F,GLD,SLV
2015-08-26,24.793527603149414,37.27577590942383,81.76182556152344,77.33000183105469,25.03849983215332,45.260013580322266,132.61000061035156,22.761438369750977,116.88027954101562,68.32425689697266,19.343950271606445,50.31576919555664,35.80670166015625,92.2936019897461,32.94918441772461,93.80839538574219,77.77760314941406,94.77540588378906,21.56057357788086,74.9222412109375,29.064355850219727,87.79183959960938,68.59404754638672,86.82300567626953,75.96353149414062,58.154972076416016,39.45523452758789,37.56346130371094,20.400484085083008,110.12999725341797,49.213539123535156,0.5302162170410156,31.99091911315918,71.25161743164062,21.900968551635742,55.43718719482422,43.36384963989258,46.498504638671875,12.582239151000977,122.03435516357422,35.81491470336914,98.91826629638672,28.719791412353516,18.12398910522461,48.86790084838867,38.599998474121094,107.66999816894531,13.5600004196167
2015-08-27,25.523618698120117,38.6827392578125,82.3554458618164,78.91000366210938,25.918500900268555,45.85564041137695,136.22999572753906,23.324310302734375,118.61455535888672,69.74019622802734,19.71305274963379,53.448028564453125,36.54621887207031,95.0280990600586,33.359710693359375,95.20826721191406,79.41534423828125,95.96414184570312,21.89226722717285,75.796630859375,29.469589233398438,88.75373840332031,70.82695007324219,89.03832244873047,77.70391082763672,59.18537521362305,39.83948516845703,38.61005783081055,20.52088165283203,117.66000366210938,50.960182189941406,0.5501509308815002,31.912906646728516,72.10674285888672,22.46149444580078,55.890708923339844,43.89958953857422,47.366939544677734,12.8709135055542,124.61613464355469,37.11628341674805,102.67585754394531,29.374820709228516,18.473440170288086,50.451908111572266,42.560001373291016,107.7300033569336,13.800000190734863
2015-08-28,25.607248306274414,39.00482177734375,82.45866394042969,79.4000015258789,25.90049934387207,45.69731903076172,135.74000549316406,23.32841682434082,118.3946304321289,70.04930877685547,19.584997177124023,55.36870574951172,36.38096618652344,95.31640625,32.94668960571289,95.09498596191406,79.51868438720703,95.60236358642578,22.445104598999023,74.9695053100586,29.60467529296875,89.59746551513672,70.36176300048828,89.06671142578125,77.51869201660156,59.21758270263672,40.14399337768555,38.63645553588867,20.432586669921875,117.62999725341797,50.90587615966797,0.552582323551178,32.46763229370117,72.05280303955078,22.05629539489746,55.679603576660156,43.96846008300781,47.35169219970703,12.813182830810547,123.26191711425781,37.84977340698242,102.24864959716797,29.298513412475586,18.15474510192871,50.60020446777344,45.220001220703125,108.69999694824219,13.920000076293945
2015-08-31,25.487455368041992,38.38607406616211,81.09941864013672,78.56999969482422,25.644500732421875,44.837799072265625,134.0399932861328,23.143535614013672,118.47919464111328,69.16185760498047,19.494604110717773,55.75419235229492,35.9512939453125,94.75835418701172,32.35386657714844,94.23724365234375,78.92242431640625,95.54420471191406,22.539871215820312,74.0320816040039,29.50712013244629,89.22624206542969,69.65129089355469,87.44786071777344,76.52803802490234,58.19521713256836,39.04198455810547,38.275848388671875,19.748291015625,115.02999877929688,50.56650924682617,0.5465046167373657,32.146915435791016,71.59058380126953,21.7591552734375,55.25737762451172,43.66747283935547,46.52391052246094,12.778536796569824,122.14154052734375,37.731468200683594,100.87117004394531,29.260345458984375,18.096038818359375,50.714786529541016,49.20000076293945,108.81999969482422,13.989999771118164
2015-09-01,24.348251342773438,36.92828369140625,79.39604949951172,75.98999786376953,24.82699966430664,43.88028335571289,130.41000366210938,22.605314254760742,116.9987564086914,66.43965148925781,18.922119140625,53.826656341552734,35.03000259399414,92.55403900146484,31.44191551208496,91.9599838256836,76.29086303710938,92.17826080322266,21.97124671936035,72.54325866699219,29.07937240600586,86.3827896118164,67.49451446533203,84.30480194091797,75.27970886230469,55.973331451416016,38.084957122802734,36.780704498291016,19.13422966003418,105.79000091552734,49.15472412109375,0.5241387486457825,31.21086311340332,70.35798645019531,21.17837142944336,53.87338638305664,42.46349334716797,45.564083099365234,12.439831733703613,118.3224868774414,36.54841613769531,98.19462585449219,28.554439544677734,17.841632843017578,48.58481979370117,45.40999984741211,109.19999694824219,13.9399995803833
2015-09-02,25.392513275146484,37.49614334106445,81.23706817626953,77.25,25.52750015258789,44.943355560302734,132.22000122070312,22.95864486694336,118.792236328125,67.78580474853516,19.321352005004883,53.73716354370117,35.64558410644531,94.76766204833984,32.208534240722656,94.73338317871094,77.92069244384766,93.70941162109375,22.587257385253906,73.53580474853516,29.191932678222656,86.86372375488281,69.19457244873047,85.6112289428711,77.34954071044922,57.599483489990234,38.41121292114258,38.1351318359375,19.072017669677734,105.44000244140625,50.09138870239258,0.5399407744407654,31.852245330810547,71.14442443847656,21.59031867980957,54.58493423461914,43.111778259277344,46.33600997924805,12.632277488708496,119.61823272705078,37.344993591308594,99.58954620361328,28.840618133544922,18.01496124267578,49.35995864868164,46.25,108.62000274658203,14.020000457763672
2015-09-03,24.947242736816406,37.41139221191406,82.2522201538086,78.31999969482422,25.236000061035156,44.29494857788086,132.14999389648438,23.0942325592041,118.84298706054688,68.0550308227539,19.509668350219727,53.87482833862305,35.89346694946289,94.86067962646484,31.81598663330078,94.8309555053711,78.36587524414062,94.82707214355469,22.966346740722656,72.9765396118164,29.387062072753906,87.52220916748047,69.0169677734375,86.76622009277344,77.32540130615234,56.33558654785156,38.17195510864258,38.25825881958008,19.098114013671875,101.05999755859375,50.28644943237305,0.541399359703064,31.98225975036621,71.52483367919922,21.53629493713379,54.67875671386719,42.87253189086914,46.676265716552734,12.716957092285156,119.60848236083984,37.4317626953125,99.38031768798828,29.075925827026367,18.132383346557617,49.73741912841797,46.75,107.83999633789062,14.020000457763672
2015-09-04,24.6986026763916,36.50449752807617,81.2542724609375,76.88999938964844,24.950000762939453,43.201725006103516,129.63999938964844,22.917560577392578,117.15104675292969,66.93822479248047,19.223426818847656,52.780277252197266,35.360511779785156,93.91195678710938,31.411949157714844,93.0579605102539,76.79175567626953,92.83723449707031,22.524076461791992,71.92881774902344,28.90677833557129,86.18827819824219,67.93434143066406,85.70589447021484,76.39112854003906,55.530574798583984,37.40345764160156,37.47551727294922,18.987741470336914,98.79000091552734,49.76022720336914,0.5287578701972961,31.436206817626953,70.58545684814453,21.18512535095215,53.76392364501953,41.90008544921875,46.051605224609375,12.532207489013672,118.04971313476562,36.698272705078125,97.95924377441406,28.50356674194336,17.861204147338867,48.8409538269043,46.04999923706055,107.48999786376953,13.920000076293945
2015-09-08,25.385740280151367,37.326629638671875,83.55123138427734,79.77999877929688,25.87700080871582,44.47589874267578,132.89999389648438,23.463998794555664,119.64664459228516,70.55785369873047,19.810976028442383,52.897308349609375,36.162010192871094,96.73946380615234,32.1570930480957,94.69270324707031,79.35173034667969,95.11781311035156,23.298046112060547,74.00057983398438,29.191932678222656,88.5927734375,70.09956359863281,87.9496078491211,77.94551849365234,56.9957160949707,38.200958251953125,38.601261138916016,19.4833984375,94.94999694824219,50.694732666015625,0.5513666868209839,32.65829086303711,71.71118927001953,21.968507766723633,54.71784591674805,42.6024169921875,47.13840103149414,12.755444526672363,120.50481414794922,38.401859283447266,101.21117401123047,29.17767906188965,18.557315826416016,49.541954040527344,45.939998626708984,107.5199966430664,14.119999885559082
2015-09-09,24.897510528564453,36.64011764526367,82.17477416992188,78.5199966430664,25.844499588012695,43.752098083496094,130.58999633789062,23.283222198486328,118.16619110107422,68.83280181884766,19.539798736572266,51.5755615234375,35.69929122924805,94.78626251220703,32.13362121582031,92.69197082519531,78.5964584350586,93.70941162109375,23.092708587646484,72.64566802978516,28.741680145263672,88.61827850341797,68.58557891845703,85.17575073242188,76.85826110839844,56.021636962890625,37.64994430541992,37.88007736206055,19.124197006225586,99.18000030517578,49.837345123291016,0.5404269099235535,32.146915435791016,70.51557922363281,21.583568572998047,53.54499053955078,41.923240661621094,46.645790100097656,12.616883277893066,118.48811340332031,37.550071716308594,100.76460266113281,28.866058349609375,18.20505714416504,48.5308952331543,44.150001525878906,106.12999725341797,13.930000305175781
